Candidate,Contributor,Total
Jerry Moran,Live Nation Entertainment,20500
Jerry Moran,Spirit Aerosystems,20050
Jerry Moran,Hilltop Holdings,18400
Jerry Moran,Veterans United Home Loans,15000
Jerry Moran,Triwest Healthcare Alliance,14100
Jerry Moran,Hallmark Cards,12504
Jerry Moran,Van Scoyoc Assoc,11800
Jerry Moran,Anschutz Corp,11200
Jerry Moran,ClearPath Foundation,11200
Jerry Moran,Northrock Inc,11200
Pat Roberts,National Grocers Assn,4500
Pat Roberts,Bristol-Myers Squibb,1000
Pat Roberts,CVS Health,1000
Pat Roberts,Barclays,500
Pat Roberts,AmerisourceBergen Corp,0
Pat Roberts,Amgen Inc,0
Pat Roberts,Blue Cross/Blue Shield,0
Pat Roberts,Burns & McDonnell,0
Pat Roberts,California Dairies Inc,0
Pat Roberts,CME Group,0
Roger Marshall,Nueterra Capital,43600
Roger Marshall,Poet LLC,32500
Roger Marshall,Burns & McDonnell,22036
Roger Marshall,Susan B Anthony List,20200
Roger Marshall,Watco Companies,20000
Roger Marshall,Goldman Sachs,19100
Roger Marshall,Bukaty Companies,18900
Roger Marshall,Bristol-Myers Squibb,17600
Roger Marshall,Innovative Livestock Services,16800
Roger Marshall,Koch Industries,16635
Ron Estes,Spirit Aerosystems,21550
Ron Estes,Poet LLC,21200
Ron Estes,Icm Inc,14050
Ron Estes,Wichita Railway Service,13700
Ron Estes,Cox Enterprises,13000
Ron Estes,Morgan Stanley,12000
Ron Estes,Blackstone Group,11450
Ron Estes,Aviation Consulting & Engineering Solu,11200
Ron Estes,Cornejo Construction,11200
Ron Estes,Lrico Services,11200
Sharice Davids,Emily's List,52150
Sharice Davids,Democracy Engine,35650
Sharice Davids,United for A Strong America,26800
Sharice Davids,Dentons,23100
Sharice Davids,League of Conservation Voters,20839
Sharice Davids,PAC to the Future,20000
Sharice Davids,Deutsche Telekom,18486
Sharice Davids,University of Kansas,17956
Sharice Davids,Service Employees International Union,17605
Sharice Davids,US Government,16541
Steve Watkins,Armstrong Farms,11800
Steve Watkins,Bk2 Holdings,11200
Steve Watkins,Macerich Co,11200
Steve Watkins,O'Brate Foundation,11200
Steve Watkins,Marcus Foundation,11198
Steve Watkins,Western National Group,11096
Steve Watkins,Station Casinos,10976
Steve Watkins,Watco Companies,10800
Steve Watkins,Crow Holdings,8406
Steve Watkins,Community Oncology Alliance,7500
