Candidate,Contributor,Total
Ann L Wagner,Jones Financial Companies,71848
Ann L Wagner,Votesane PAC,"63,500"
Ann L Wagner,Crawford Group,57212
Ann L Wagner,Charles Schwab Corp,44302
Ann L Wagner,Herzog Contracting,44200
Ann L Wagner,Emerson Electric,34611
Ann L Wagner,Wells Fargo,33643
Ann L Wagner,Northwestern Mutual,33150
Ann L Wagner,Ameren Corp,27960
Ann L Wagner,Bayer AG,26452
William L Clay,Blackstone Group,19600
William L Clay,Rock Holdings,19400
William L Clay,American Council of Life Insurers,10000
William L Clay,Credit Union National Assn,10000
William L Clay,New York Life Insurance,10000
William L Clay,Bank Of America,8500
William L Clay,Law Office of Eric M Kamerath,8400
William L Clay,National Assn of Insurance and Financial Advisors,8000
William L Clay,Hush Blasckwell LLP,7927
William L Clay,Ally Financial,7500
Billy Long,Ozarks Coca-Cola Bottling,16800
Billy Long,Deutsche Telekom,15000
Billy Long,Pinegar Sales,11200
Billy Long,American Academy of Orthapedic Surgeons,11000
Billy Long,Thompson Sales,10400
Billy Long,Ameren Corp,10000
Billy Long,American Crystal Sugar,10000
Billy Long,At&T Inc,10000
Billy Long,Charter Communications,10000
Billy Long,Cigna Corp,10000
Blaine Leutkemeyer,Diamond Pet Foods,40900
Blaine Leutkemeyer,Rock Holdings,21900
Blaine Leutkemeyer,Truist Fiancial Companies,20000
Blaine Leutkemeyer,Charles Schwab Corp,14800
Blaine Leutkemeyer,Veterans united Home Loans,14050
Blaine Leutkemeyer,American Bankers Assn,12968
Blaine Leutkemeyer,Jones Financial Companies,11750
Blaine Leutkemeyer,Crawford Group,11310
Blaine Leutkemeyer,Blackstone Group,11200
Blaine Leutkemeyer,Boeing Corp,11100
Emanuel Cleaver,Votesane PAC,37260
Emanuel Cleaver,Hallmark Cards,25000
Emanuel Cleaver,Edp Enterprises,16800
Emanuel Cleaver,Service Employees International Union,12520
Emanuel Cleaver,H&R Block,11500
Emanuel Cleaver,Massachutes Mutual Life Insurance ,11500
Emanuel Cleaver,Pricewaterhouse Coopers,10250
Emanuel Cleaver,International Assn of Fire Fighetrs,10220
Emanuel Cleaver,American Council of Life Insurers,10000
Emanuel Cleaver,American Federation of State/Cnty/Munic Employees,10000
Jason Smith,Ernst & Young ,155000
Jason Smith,Pfizer Inc,14500
Jason Smith,Northwestern Mutual,13000
Jason Smith,Blackstone Group,11200
Jason Smith,Cequel III,11200
Jason Smith,Raytheon Technologies,11000
Jason Smith,UBS AG,10500
Jason Smith,Ameren Corp,10000
Jason Smith,American Bankers Assn,10000
Jason Smith,American Crystal Sugar,10000
Josh Hawley,Jones Financial Companies,36485
Josh Hawley,Diamond Pet Foods,27700
Josh Hawley,Hunter Engineering,22400
Josh Hawley,Orschelen Group,16800
Josh Hawley,Hallmark Cards,16019
Josh Hawley,Bayer AG,11250
Josh Hawley,Charles Schwab Corp,11225
Josh Hawley,Bodley Group,11200
Josh Hawley,Cepia,11200
Josh Hawley,Clawson Farm,11200
Roy Blunt,Jones Financial Companies,54475
Roy Blunt,Veterans united Home Loans,24400
Roy Blunt,Charter Communications,21250
Roy Blunt,National Assn of Broadcasters,20300
Roy Blunt,Dot Foods,16800
Roy Blunt,Harbour Groups,16800
Roy Blunt,Husch Blackwell LLP,16375
Roy Blunt,Synergi Partners,15200
Roy Blunt,Blackstone Group,14000
Roy Blunt,CVS Health,11700
Sam Graves,Herzog Contracting,36800
Sam Graves,Union Pacific Corp,25250
Sam Graves,Hallmark Cards,22200
Sam Graves,Kansas City Southern,14750
Sam Graves,Crawford Group,13600
Sam Graves,Invenergy LLC,13200
Sam Graves,FedEx Corp,12800
Sam Graves,Cubic Corp,12500
Sam Graves,National Business Aviation Assn,12500
Sam Graves,Raytheon Technologies,12000
Vicky Hartzler,Production Products,28000
Vicky Hartzler,Ozarks Coca-Cola Bottling,16600
Vicky Hartzler,Charles Schwab Corp,11577
Vicky Hartzler,Bartlett Grain,11200
Vicky Hartzler,Crow Holdings,11200
Vicky Hartzler,Loren Cook Co,11200
Vicky Hartzler,Mid Am Building Supply,11200
Vicky Hartzler,Midway USA,11200
Vicky Hartzler,MS Management Corp,11200
Vicky Hartzler,Orschelen Group,11200
